n,tau,d,semilla,auc_cv,auc_resub,C,l1_ratio,n_coef_no_cero,tasa,lote
41,1.0,0.0,20261011,0.47222222222222227,0.8680555555555556,1.0,0.5,7,0.7804878048780488,extra
41,1.0,0.0,20261011,0.5906593406593407,0.6923076923076923,0.01,0.0,9,0.6829268292682927,extra
41,1.0,0.0,20261011,0.48461538461538456,0.5,0.01,0.5,0,0.6341463414634146,extra
41,1.0,0.0,20261011,0.5547619047619048,0.7142857142857143,0.1,0.0,9,0.5121951219512195,extra
41,1.0,0.0,20261011,0.5158730158730159,0.5,0.01,0.5,0,0.6585365853658537,extra
41,1.0,0.0,20261011,0.4757575757575758,0.7454545454545455,0.1,0.0,9,0.7317073170731707,extra
41,1.0,0.0,20261011,0.6172248803827751,0.7918660287081339,1.0,1.0,3,0.5365853658536586,extra
41,1.0,0.0,20261011,0.5661764705882353,0.7156862745098039,0.01,0.0,9,0.5853658536585366,extra
41,1.0,0.0,20261011,0.7631578947368421,0.8684210526315789,1.0,0.0,9,0.4634146341463415,extra
41,1.0,0.0,20261011,0.4641025641025641,0.7461538461538462,1.0,0.0,9,0.6341463414634146,extra
41,1.0,0.0,20261011,0.6375,0.77,1.0,0.0,9,0.6097560975609756,extra
41,1.0,0.0,20261011,0.4846153846153846,0.8102564102564103,1.0,1.0,4,0.6341463414634146,extra
41,1.0,0.0,20261011,0.4739010989010989,0.7445054945054945,0.1,0.0,9,0.6829268292682927,extra
41,1.0,0.0,20261011,0.6243386243386244,0.8386243386243387,1.0,1.0,6,0.6585365853658537,extra
41,1.0,0.0,20261011,0.5961538461538461,0.7005494505494505,0.01,0.0,9,0.6829268292682927,extra
41,1.0,0.0,20261011,0.6058201058201058,0.7063492063492064,0.01,0.0,9,0.6585365853658537,extra
41,1.0,0.0,20261011,0.7897435897435898,0.8974358974358975,0.1,0.0,9,0.6341463414634146,extra
41,1.0,0.0,20261011,0.5928571428571429,0.7880952380952381,0.1,0.0,9,0.5121951219512195,extra
41,1.0,0.0,20261011,0.4232804232804233,0.738095238095238,1.0,0.0,9,0.6585365853658537,extra
41,1.0,0.0,20261011,0.4636363636363636,0.5,0.01,0.5,0,0.7317073170731707,extra
41,1.0,0.0,20261011,0.7794871794871795,0.9512820512820513,1.0,1.0,6,0.6341463414634146,extra
41,1.0,0.0,20261011,0.5249999999999999,0.79,1.0,0.0,9,0.6097560975609756,extra
41,1.0,0.0,20261011,0.3181818181818182,0.5,0.01,0.5,0,0.5365853658536586,extra
