tau,dim,r_poblacional,r_seleccionada,U,r_corregida_thorndike,error_correccion
0.5,AE,0.927495419479802,0.9230296206080996,1.051218543551899,0.929593518600331,0.002098099120529051
0.5,AU,0.6094810107249055,0.5940876187094514,1.0325122047498503,0.6063723242804847,-0.0031086864444207496
0.5,IN,0.7447541385952862,0.7337937553302675,1.029916285798986,0.7436850808187173,-0.0010690577765688491
0.5,LI,0.6309324661462836,0.6182667286666648,1.0392397699762872,0.6329204986110795,0.0019880324647958414
0.5,ML,0.8382680333507778,0.830132014267198,1.0376227292271494,0.8394751020311716,0.0012070686803937747
0.5,OP,0.7356244575117186,0.7240676559040973,1.0417702509589397,0.7379936641220545,0.0023692066103359055
0.5,TE,0.6378461928013444,0.6250297565458746,1.0294478461704017,0.6360533772928887,-0.0017928155084556696
0.5,TR,0.8000796028492779,0.7906785623511281,1.0440025806039335,0.8031978086403269,0.0031182057910489336
0.9,AE,0.927495419479802,0.9260104951421545,1.015973075292307,0.9280757543174148,0.0005803348376128836
0.9,AU,0.6094810107249055,0.6047389696307836,1.01155328879986,0.6091425877622783,-0.00033842296262720506
0.9,IN,0.7447541385952862,0.7409302716451887,1.0094388845891311,0.7440601387155311,-0.0006939998797550473
0.9,LI,0.6309324661462836,0.6264625853087505,1.0117130199706614,0.6308899837693535,-4.24823769301641e-05
0.9,ML,0.8382680333507778,0.8354982336827648,1.010907087343497,0.8382186507564285,-4.938259434927872e-05
0.9,OP,0.7356244575117186,0.7315063512686378,1.012102731218522,0.7355824885397598,-4.1968971958739054e-05
0.9,TE,0.6378461928013444,0.633298251066635,1.008660001436306,0.63656595582309,-0.001280236978254412
0.9,TR,0.8000796028492779,0.7964305855240236,1.0143977591733857,0.8005671305444254,0.00048752769514748273
