n,tau,d,semilla,auc_cv,auc_resub,C,l1_ratio,n_coef_no_cero,tasa,variante
41,-1.0,0.0,-1,0.40952380952380957,0.6738095238095239,0.01,0.0,9,0.5121951219512195,copula
41,-1.0,0.0,-1,0.47692307692307695,0.5,0.01,0.5,0,0.6341463414634146,copula
41,-1.0,0.0,-1,0.41379310344827586,0.5,0.01,0.5,0,0.7073170731707317,copula
41,-1.0,0.0,-1,0.653846153846154,0.841025641025641,1.0,1.0,4,0.6341463414634146,copula
41,-1.0,0.0,-1,0.4367816091954023,0.8764367816091954,1.0,0.0,9,0.7073170731707317,copula
41,-1.0,0.0,-1,0.5027472527472526,0.5,0.01,0.5,0,0.6829268292682927,copula
41,-1.0,0.0,-1,0.4318181818181819,0.5,0.01,0.5,0,0.5365853658536586,copula
41,-1.0,0.0,-1,0.6594202898550724,0.8840579710144928,1.0,0.0,9,0.5609756097560976,copula
41,-1.0,0.0,-1,0.6436781609195402,0.9166666666666667,1.0,0.0,9,0.7073170731707317,copula
41,-1.0,0.0,-1,0.43995098039215685,0.6421568627450981,0.01,0.0,9,0.5853658536585366,copula
41,-1.0,0.0,-1,0.41299019607843135,0.5,0.01,0.5,0,0.5853658536585366,copula
41,-1.0,0.0,-1,0.475,0.6675,0.01,0.0,9,0.6097560975609756,copula
41,-1.0,0.0,-1,0.41421568627450983,0.6985294117647058,0.01,0.0,9,0.5853658536585366,copula
41,-1.0,0.0,-1,0.4224137931034483,0.7729885057471265,1.0,0.0,9,0.7073170731707317,copula
41,-1.0,0.0,-1,0.4232804232804233,0.5,0.01,0.5,0,0.6585365853658537,copula
41,-1.0,0.0,-1,0.56375,0.845,1.0,1.0,6,0.6097560975609756,copula
41,-1.0,0.0,-1,0.5846560846560847,0.6984126984126984,0.01,0.0,9,0.6585365853658537,copula
41,-1.0,0.0,-1,0.41346153846153844,0.5,0.01,0.5,0,0.6829268292682927,copula
41,-1.0,0.0,-1,0.4351851851851852,0.8624338624338624,1.0,1.0,5,0.6585365853658537,copula
41,-1.0,0.0,-1,0.4409340659340659,0.7857142857142857,1.0,0.5,6,0.6829268292682927,copula
41,-1.0,0.0,-1,0.4546703296703297,0.7390109890109889,1.0,0.0,9,0.6829268292682927,copula
41,-1.0,0.0,-1,0.4870967741935484,0.8483870967741935,1.0,1.0,6,0.7560975609756098,copula
41,-1.0,0.0,-1,0.7225274725274725,0.8379120879120879,0.1,0.5,4,0.6829268292682927,copula
41,-1.0,0.0,-1,0.49102564102564106,0.5,0.01,0.5,0,0.6341463414634146,copula
41,-1.0,0.0,-1,0.45256410256410257,0.5,0.01,0.5,0,0.6341463414634146,copula
41,-1.0,0.0,-1,0.5132275132275133,0.5,0.01,0.5,0,0.6585365853658537,copula
41,-1.0,0.0,-1,0.5767195767195767,0.656084656084656,0.01,0.0,9,0.6585365853658537,copula
41,-1.0,0.0,-1,0.4807692307692307,0.5,0.01,0.5,0,0.6829268292682927,copula
41,-1.0,0.0,-1,0.6076555023923444,0.7966507177033493,1.0,0.5,6,0.5365853658536586,copula
41,-1.0,0.0,-1,0.7153110047846889,0.8516746411483254,1.0,0.0,9,0.4634146341463415,copula
41,-1.0,0.0,-1,0.6538461538461539,0.8214285714285714,1.0,0.5,6,0.6829268292682927,copula
41,-1.0,0.0,-1,0.8307692307692308,0.9307692307692308,1.0,1.0,5,0.6341463414634146,copula
41,-1.0,0.0,-1,0.5225,0.7975000000000001,1.0,0.0,9,0.6097560975609756,copula
41,-1.0,0.0,-1,0.37673611111111116,0.795138888888889,1.0,0.5,7,0.7804878048780488,copula
41,-1.0,0.0,-1,0.5145502645502646,0.7063492063492064,0.01,0.0,9,0.6585365853658537,copula
41,-1.0,0.0,-1,0.3996212121212121,0.8636363636363636,1.0,1.0,6,0.8048780487804879,copula
41,-1.0,0.0,-1,0.4907407407407407,0.6825396825396826,0.01,0.0,9,0.6585365853658537,copula
41,-1.0,0.0,-1,0.5317460317460317,0.8121693121693122,1.0,0.0,9,0.6585365853658537,copula
41,-1.0,0.0,-1,0.3969696969696969,0.8272727272727273,1.0,0.0,9,0.7317073170731707,copula
41,-1.0,0.0,-1,0.5,0.5,0.01,0.5,0,0.7317073170731707,copula
41,-1.0,0.0,-1,0.47101449275362317,0.5,0.01,0.5,0,0.5609756097560976,copula
41,-1.0,0.0,-1,0.4191176470588235,0.803921568627451,1.0,0.0,9,0.5853658536585366,copula
