n,tau,d,M,p95_nulo,potencia,wilson_inf,wilson_sup,auc_mediana,auc_q25,auc_q75,resub_gap_medio
200,1.0,0.35,500,0.581251553324724,0.412,0.3696877164049981,0.4556542164564409,0.5693538406953041,0.518921908990039,0.6059849884733721,0.0658230101796192
200,1.0,0.5,500,0.581251553324724,0.716,0.6749432769152115,0.7537628878794382,0.6077538156788076,0.5762528143342601,0.6421462677426124,0.05296727924200124
200,1.0,0.8,500,0.581251553324724,0.994,0.9825094361891064,0.9979574407023611,0.6931260719149694,0.661283525257774,0.7192767641031172,0.034603219573408055
300,0.5,0.0,500,0.5625809426904266,0.05,0.03409350665098192,0.07276865002683111,0.490152748135361,0.4648536101464903,0.5139036413096165,0.07364864443483336
300,0.5,0.2,500,0.5625809426904266,0.244,0.20839823999994375,0.2835055646878788,0.5212080652501796,0.4873783572189852,0.5616150385475631,0.06622696945621852
300,0.5,0.35,500,0.5625809426904266,0.616,0.572638020455507,0.6575930680453232,0.5730458008592368,0.5401392653673163,0.6014372406062184,0.05012870072906236
300,0.5,0.5,500,0.5625809426904266,0.904,0.8750124461326017,0.9268268620944284,0.6185331503930447,0.5924612114114896,0.642742351557222,0.036723051190442904
300,0.5,0.8,500,0.5625809426904266,1.0,0.9923753814690964,0.9999999999999999,0.69101006225664,0.6666280931582729,0.7123179408952021,0.0251251013556981
300,0.9,0.0,500,0.5637589741981637,0.05,0.03409350665098192,0.07276865002683111,0.4893798846691302,0.4670740290537023,0.5220511586779966,0.0724765313228969
300,0.9,0.2,500,0.5637589741981637,0.226,0.1915091878404532,0.2646691031144819,0.5263272894855342,0.48855936107846115,0.5595341436130954,0.0669385484621165
300,0.9,0.35,500,0.5637589741981637,0.616,0.572638020455507,0.6575930680453232,0.5757119089471467,0.5446441772214283,0.5998466461496373,0.04957297497703972
300,0.9,0.5,500,0.5637589741981637,0.886,0.8551502882823536,0.9109635062117889,0.6189000237135612,0.5932549341688406,0.6437428569640846,0.03739122927960094
