dim,metrica,real,sintetico,error_pct,pasa_10pct
AE,media_poblacional,37.55,37.554406666666665,0.011735463826013322,True
AU,media_poblacional,40.64,40.63982,-0.00044291338582748776,True
IN,media_poblacional,38.75,38.75398,0.010270967741931716,True
LI,media_poblacional,39.54,39.54046666666667,0.0011802394199998674,True
ML,media_poblacional,39.91,39.91078666666667,0.0019711016453772085,True
OP,media_poblacional,38.77,38.771793333333335,0.004625569598482742,True
TE,media_poblacional,32.66,32.66268,0.008205756276806867,True
TR,media_poblacional,36.84,36.84352666666667,0.00957292797683439,True
AE,sd_poblacional,5.05,5.050596991593043,0.011821615703822778,True
AU,sd_poblacional,4.98,4.97995873820191,-0.0008285501624553251,True
IN,sd_poblacional,4.5,4.500345451221258,0.007676693805732289,True
LI,sd_poblacional,5.36,5.360115109564546,0.002147566502723277,True
ML,sd_poblacional,4.43,4.43007432046899,0.0016776629568980858,True
OP,sd_poblacional,5.27,5.270182180540853,0.0034569362590713623,True
TE,sd_poblacional,6.57,6.570610045526656,0.009285320040416042,True
TR,sd_poblacional,5.31,5.310742960191868,0.013991717360979967,True
AE,media_seleccionada,42.1219512195122,41.88394074074074,-0.5650509339681381,True
AE,sd_seleccionada,5.3441328667578025,4.25492280288109,-20.381418109043352,False
AE,sat_pc95,34.146341463414636,38.27777777777778,12.099206349206344,False
AU,media_seleccionada,40.4390243902439,40.43902222222222,-5.361211634292922e-06,True
AU,sd_seleccionada,5.02518049669763,4.975193860721811,-0.9947231946925815,True
AU,sat_pc95,14.634146341463413,10.274074074074074,-29.793827160493823,False
IN,media_seleccionada,43.78048780487805,43.78046666666667,-4.82822655485215e-05,True
IN,sd_seleccionada,4.8964895339516,3.883778013959663,-20.682399359172148,False
IN,sat_pc95,34.146341463414636,36.574074074074076,7.10978835978836,True
LI,media_seleccionada,42.34146341463415,42.34134074074074,-0.00028972520908552717,True
LI,sd_seleccionada,6.319057509223828,4.762237535283481,-24.636901494690967,False
LI,sat_pc95,24.390243902439025,21.46666666666667,-11.986666666666661,False
ML,media_seleccionada,43.34146341463415,43.34153333333333,0.0001613205777421279,True
ML,sd_seleccionada,4.942720688535622,3.9508006984304904,-20.06829947736754,False
ML,sat_pc95,31.70731707317073,24.40888888888889,-23.01811965811966,False
OP,media_seleccionada,43.46341463414634,43.46332592592593,-0.00020409859914800803,True
OP,sd_seleccionada,5.657285395733584,4.433284945996734,-21.635826445311107,False
OP,sat_pc95,34.146341463414636,29.156296296296297,-14.613703703703706,False
TE,media_seleccionada,35.31707317073171,35.31716296296296,0.0002542459586509524,True
TE,sd_seleccionada,5.698416553702633,6.238330706316754,9.474810195532362,True
TE,sat_pc95,12.195121951219512,16.27777777777778,33.47777777777778,False
TR,media_seleccionada,43.02439024390244,43.02437037037037,-4.6191316031075873e-05,True
TR,sd_seleccionada,5.012423589831813,4.230212074340347,-15.60545515503234,False
TR,sat_pc95,48.78048780487805,48.96222222222222,0.3725555555555566,True
GLOBAL,intercorr_media,0.5187194903156737,0.5496806720966599,5.96877163072173,True
GLOBAL,grit_media,4.44390243902439,4.546351851851852,2.3053929340976635,True
GLOBAL,grit_sd,0.48324361376421987,0.4847789744378061,0.31771980629532914,True
GLOBAL,grit_r_ML,0.6110993501576616,0.6212312586758035,1.6579805747670886,True
